"rq_id","research_question","predictor","comparison","estimate","standard_error","ci_lower","ci_upper","p_value","direction","evidence_statement","table_id","figure_id","limitation"
"RQ1","How is Grade 8 achievement in TIMSS 2023 Data and Probability associated with students' access to home educational resources?","Home Educational Resources scale","Data and Probability main multilevel model",14.557450225940306,0.17818846859030896,14.169472955790765,14.945427496089849,6.185196191029802e-18,"Positive association","In the primary multilevel model, a one-point increase in the Home Educational Resources scale was associated with a 14.56-point higher Data and Probability score (95% CI 14.17 to 14.95) in the pooled 44-system analytic sample.","Table 2","Figure 1","Results describe associations in the pooled 44-system analytic sample and do not establish causation or identical system-specific associations. Standard errors and 95% confidence intervals are model-based and should not be interpreted as full TIMSS JK2 design-based standard errors. The equal-system-contribution weight is a candidate model weight."
"RQ2","How is Grade 8 achievement in TIMSS 2023 Data and Probability associated with ICT-related access or opportunities?","Own computer or tablet at home: Yes versus No","Data and Probability main multilevel model",-0.5173601317796879,0.6133311176016829,-1.8543014592018077,0.8195811956424319,0.41549963798834344,"No clear association","Having one's own computer or tablet at home (Yes versus No) did not show a clear adjusted association with Data and Probability achievement in the pooled 44-system sample (estimate -0.52; 95% CI -1.85 to 0.82).","Table 2","Figure 1","Results describe associations in the pooled 44-system analytic sample and do not establish causation or identical system-specific associations. Standard errors and 95% confidence intervals are model-based and should not be interpreted as full TIMSS JK2 design-based standard errors. The equal-system-contribution weight is a candidate model weight."
"RQ3","Are the associations of home educational resources and ICT-related access or opportunities with achievement stronger in TIMSS 2023 Data and Probability than in Number, Algebra, and Geometry and Measurement?","Home Educational Resources scale","D&P minus Number",1.2975195949726843,0.15527884795036023,0.9084924240807566,1.686546765864612,2.569905378390146e-4,"Stronger in Data and Probability","The home educational resources association was estimated to be 1.30 points stronger in Data and Probability than in Number (95% CI 0.91 to 1.69) in the pooled 44-system sample.","Table 3","Figure 2","Results describe associations in the pooled 44-system analytic sample and do not establish causation or identical system-specific associations. Standard errors and 95% confidence intervals are model-based and should not be interpreted as full TIMSS JK2 design-based standard errors. The equal-system-contribution weight is a candidate model weight."
"RQ3","Are the associations of home educational resources and ICT-related access or opportunities with achievement stronger in TIMSS 2023 Data and Probability than in Number, Algebra, and Geometry and Measurement?","Own computer or tablet at home: Yes versus No","D&P minus Number",0.40526398161177846,0.6403984280500359,-1.24292522992619,2.053453193149747,0.5547588724877441,"No clear domain difference","The estimated difference in the ICT access association between Data and Probability and Number was 0.41 points (95% CI -1.24 to 2.05); because the interval included zero, there was no clear evidence of a domain difference.","Table 3","Figure 2","Results describe associations in the pooled 44-system analytic sample and do not establish causation or identical system-specific associations. Standard errors and 95% confidence intervals are model-based and should not be interpreted as full TIMSS JK2 design-based standard errors. The equal-system-contribution weight is a candidate model weight."
"RQ3","Are the associations of home educational resources and ICT-related access or opportunities with achievement stronger in TIMSS 2023 Data and Probability than in Number, Algebra, and Geometry and Measurement?","Home Educational Resources scale","D&P minus Algebra",0.8055271222397761,0.1638156229889944,0.3974812385652978,1.2135730059142542,0.00324336486425421,"Stronger in Data and Probability","The home educational resources association was estimated to be 0.81 points stronger in Data and Probability than in Algebra (95% CI 0.40 to 1.21) in the pooled 44-system sample.","Table 3","Figure 2","Results describe associations in the pooled 44-system analytic sample and do not establish causation or identical system-specific associations. Standard errors and 95% confidence intervals are model-based and should not be interpreted as full TIMSS JK2 design-based standard errors. The equal-system-contribution weight is a candidate model weight."
"RQ3","Are the associations of home educational resources and ICT-related access or opportunities with achievement stronger in TIMSS 2023 Data and Probability than in Number, Algebra, and Geometry and Measurement?","Own computer or tablet at home: Yes versus No","D&P minus Algebra",0.5386494998334207,0.5804757074788942,-0.9116281821366864,1.9889271818035277,0.392150483220025,"No clear domain difference","The estimated difference in the ICT access association between Data and Probability and Algebra was 0.54 points (95% CI -0.91 to 1.99); because the interval included zero, there was no clear evidence of a domain difference.","Table 3","Figure 2","Results describe associations in the pooled 44-system analytic sample and do not establish causation or identical system-specific associations. Standard errors and 95% confidence intervals are model-based and should not be interpreted as full TIMSS JK2 design-based standard errors. The equal-system-contribution weight is a candidate model weight."
"RQ3","Are the associations of home educational resources and ICT-related access or opportunities with achievement stronger in TIMSS 2023 Data and Probability than in Number, Algebra, and Geometry and Measurement?","Home Educational Resources scale","D&P minus Geometry and Measurement",1.0417449141159862,0.20914498929597844,0.4989926481766973,1.5844971800552752,0.00454289504530561,"Stronger in Data and Probability","The home educational resources association was estimated to be 1.04 points stronger in Data and Probability than in Geometry and Measurement (95% CI 0.50 to 1.58) in the pooled 44-system sample.","Table 3","Figure 2","Results describe associations in the pooled 44-system analytic sample and do not establish causation or identical system-specific associations. Standard errors and 95% confidence intervals are model-based and should not be interpreted as full TIMSS JK2 design-based standard errors. The equal-system-contribution weight is a candidate model weight."
"RQ3","Are the associations of home educational resources and ICT-related access or opportunities with achievement stronger in TIMSS 2023 Data and Probability than in Number, Algebra, and Geometry and Measurement?","Own computer or tablet at home: Yes versus No","D&P minus Geometry and Measurement",2.111548725187918,0.7382881178568677,0.19341028130371396,4.0296871690721225,0.03684764339383255,"Stronger in Data and Probability","The ICT access association was estimated to be 2.11 points stronger in Data and Probability than in Geometry and Measurement (95% CI 0.19 to 4.03) in the pooled 44-system sample.","Table 3","Figure 2","Results describe associations in the pooled 44-system analytic sample and do not establish causation or identical system-specific associations. Standard errors and 95% confidence intervals are model-based and should not be interpreted as full TIMSS JK2 design-based standard errors. The equal-system-contribution weight is a candidate model weight."
"RQ3","Are the associations of home educational resources and ICT-related access or opportunities with achievement stronger in TIMSS 2023 Data and Probability than in Number, Algebra, and Geometry and Measurement?","Home Educational Resources scale","D&P minus mean of the other three domains",1.0436396064925022,0.1483026879221124,0.6681708516153987,1.4191083613696058,7.203280152737607e-4,"Stronger in Data and Probability","The home educational resources association was estimated to be 1.04 points stronger in Data and Probability than in the mean of Number, Algebra, and Geometry and Measurement (95% CI 0.67 to 1.42) in the pooled 44-system sample.","Table 3","Figure 2","Results describe associations in the pooled 44-system analytic sample and do not establish causation or identical system-specific associations. Standard errors and 95% confidence intervals are model-based and should not be interpreted as full TIMSS JK2 design-based standard errors. The equal-system-contribution weight is a candidate model weight."
"RQ3","Are the associations of home educational resources and ICT-related access or opportunities with achievement stronger in TIMSS 2023 Data and Probability than in Number, Algebra, and Geometry and Measurement?","Own computer or tablet at home: Yes versus No","D&P minus mean of the other three domains",1.006981853792248,0.5836809550936194,-0.49805539067269766,2.5120190982571935,0.145681865779918,"No clear domain difference","The estimated difference in the ICT access association between Data and Probability and the mean of Number, Algebra, and Geometry and Measurement was 1.01 points (95% CI -0.50 to 2.51); because the interval included zero, there was no clear evidence of a domain difference.","Table 3","Figure 2","Results describe associations in the pooled 44-system analytic sample and do not establish causation or identical system-specific associations. Standard errors and 95% confidence intervals are model-based and should not be interpreted as full TIMSS JK2 design-based standard errors. The equal-system-contribution weight is a candidate model weight."
